"id","name","short"
1,"Agroscope",
2,"Akademien der Wissenschaften",
3,"Berner Fachhochschule","BFH"
4,"Bundesamt für Bevölkerungsschutz","BABS"
5,"Business School Lausanne","BSL"
6,"Center for Agricultural Bioscience International","CABI"
7,"Centre de coordination pour la protection des amphibiens et des reptiles de Suisse","KARCH"
8,"Centre de recherche sur l'environnement alpin","CREALP"
9,"Centre du réseau suisse de floristique","CRSF"
10,"Centre hospitalier universitaire vaudois","CHUV"
11,"Centre suisse de cartographie de la faune","CSCF"
12,"Conservatoire et Jardin botaniques Genève","CJBG"
13,"Eidgenössische Anstalt für Wasserversorgung, Abwasserreinigung und Gewässerschutz","EAWAG"
14,"Ecole Polytechnique Fédérale de Lausanne","EPFL"
15,"Eidgenössische Technische Hochschule Zürich","ETHZ"
16,"Eidgenössisches Institut für Metrologie","METAS"
17,"Eidgenössische Materialprüfungs- und Forschungsanstalt","EMPA"
18,"Fachhochschule Nordwestschweiz","FHNW"
19,"Fachhochschule Ostschweiz","FHO"
20,"Foundation for research on information technologies in society","IT'IS"
21,"Haute école spécialisée de Suisse occidentale","HES-SO"
22,"Hochschule Luzern","HSLU"
23,"Institut de hautes études en administration publique","IDHEAP"
24,"Institut de recherche de l'agriculture biologique","FIBL"
25,"Institut für angewandte Pflanzenbiologie","IAP"
26,"Institut romand de santé du travail","IST"
27,"Institut suisse de spéléologie et karstologie","ISSKA"
29,"Institut de hautes études internationales et du développement","IHEID"
30,"Ithaka Institut für Ökologie und Klimafarming",
31,"Jardin botanique alpin Flore-Alpe",
32,"Koordinierte Forschungsprojekte zur Erhaltung und zum Management der Raubtiere in der Schweiz","KORA"
33,"Bundesamt für Meteorologie und Klimatologie","MeteoSchweiz"
34,"Musée cantonal de géologie, Lausanne",
35,"Musée de la nature, Sion",
36,"Musée jurassien des sciences naturelles, Porrentruy","MJSN"
37,"Museo cantonale di storia naturale, Lugano","MCSN"
38,"Muséum d'histoire naturelle de Genève",
39,"Musée d'Histoire Naturelle Neuchâtel",
40,"Nationale Genossenschaft für die Lagerung radioaktiver Abfälle","NAGRA"
41,"Naturhistorisches Museum Basel","NMBS"
42,"Naturhistorisches Museum Bern","NMBE"
43,"Natur-Museum Luzern",
44,"Schweizerisches Zentrum für angewandte Ökotoxikologie","Oekotoxzentrum"
45,"Ökozentrum",
46,"Pädagogische Hochschule St. Gallen","PHSG"
48,"Pädagogische Hochschule Zürich","PHZH"
49,"Paul Scherrer Institut","PSI"
50,"Schweizerische Vogelwarte Sempach",
51,"Schweizerisches Forschungsinstitut für Hochgebirgsklima und Medizin Davos","SFI"
52,"Schweizerisches Tropen- und Public Health Institut","Swiss TPH"
53,"Scuola universitaria professionale della Svizzera italiana","SUPSI"
54,"Stiftung Risiko-Dialog",
55,"Bundesamt für Landestopografie","Swisstopo"
56,"The Product-Life Institute",
57,"Università della Svizzera italiana","USI"
58,"Universität Basel","UNIBAS"
59,"Universität Bern","UNIBE"
60,"Universität Luzern","UNILU"
61,"Universität St.Gallen","UNISG"
62,"Universität Zürich","UZH"
63,"Université de Fribourg","UNIFR"
64,"Université de Genève","UNIGE"
65,"Université de Lausanne","UNIL"
66,"Université de Neuchâtel","UNINE"
68,"Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft","WSL"
69,"Zürcher Hochschule für Angewandte Wissenschaften","ZHAW"
